name,oid,kind,type,range,access,defval,syntax,parent_table
"dayPlanStatus","1.3.6.1.4.1.1206.4.2.6.3.3.6",scalar,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)",""
"timeBaseScheduleTable-status","1.3.6.1.4.1.1206.4.2.6.3.3.7",scalar,"INTEGER","0 .. 65535","read-only","","INTEGER (0..65535)",""
"controllerStandardTimeZone","1.3.6.1.4.1.1206.4.2.6.3.5",scalar,"INTEGER","-43200 .. 43200","read-write","0","INTEGER (-43200..43200)",""
"controllerLocalTime","1.3.6.1.4.1.1206.4.2.6.3.6",scalar,"Counter32","0 .. 4294967295","read-only","","Counter",""
"auxIO","1.3.6.1.4.1.1206.4.2.6.7",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"auxIOTableNumDigitalPorts","1.3.6.1.4.1.1206.4.2.6.7.1",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"auxIOTableNumAnalogPorts","1.3.6.1.4.1.1206.4.2.6.7.2",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"auxIOTable","1.3.6.1.4.1.1206.4.2.6.7.3",table,"TABLE","SEQUENCE OF AuxIOEntry","not-accessible","","SEQUENCE OF AuxIOEntry",""
"auxIOPortType","1.3.6.1.4.1.1206.4.2.6.7.3.1.1",column,"INTEGER (enum)","1 .. 3  (other=1, analog=2, digital=3) [INDEX]","read-only","","INTEGER{ other (1), analog (2), digital (3) }","auxIOTable"
"auxIOPortNumber","1.3.6.1.4.1.1206.4.2.6.7.3.1.2",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","auxIOTable"
"auxIOPortDescription","1.3.6.1.4.1.1206.4.2.6.7.3.1.3",column,"DisplayString","length 0 .. 255 bytes","read-write","","DisplayString (SIZE (0..255))","auxIOTable"
"auxIOPortResolution","1.3.6.1.4.1.1206.4.2.6.7.3.1.4",column,"INTEGER","1 .. 32","read-only","","INTEGER (1..32)","auxIOTable"
"auxIOPortValue","1.3.6.1.4.1.1206.4.2.6.7.3.1.5",column,"INTEGER","0 .. 4294967295","read-write","","INTEGER (0..4294967295)","auxIOTable"
"auxIOPortDirection","1.3.6.1.4.1.1206.4.2.6.7.3.1.6",column,"INTEGER (enum)","1 .. 3  (output=1, input=2, bidirectional=3)","read-only","","INTEGER { output (1), input (2), bidirectional (3)}","auxIOTable"
"auxIOPortLastCommandedState","1.3.6.1.4.1.1206.4.2.6.7.3.1.7",column,"INTEGER","0 .. 4294967295","read-only","","INTEGER (0..4294967295)","auxIOTable"
"auxIOEntry","1.3.6.1.4.1.1206.4.2.6.7.3.1",entry,"ROW ENTRY","INDEX { auxIOPortType, auxIOPortNumber }","not-accessible","","AuxIOEntry",""
