name,oid,kind,type,range,access,defval,syntax,parent_table
"phase","1.3.6.1.4.1.1206.4.2.1.1",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"maxPhases","1.3.6.1.4.1.1206.4.2.1.1.1",scalar,"INTEGER","2 .. 255","read-only","","INTEGER (2..255)",""
"phaseTable","1.3.6.1.4.1.1206.4.2.1.1.2",table,"TABLE","SEQUENCE OF PhaseEntry","not-accessible","","SEQUENCE OF PhaseEntry",""
"phaseNumber","1.3.6.1.4.1.1206.4.2.1.1.2.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","phaseTable"
"phaseWalk","1.3.6.1.4.1.1206.4.2.1.1.2.1.2",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phasePedestrianClear","1.3.6.1.4.1.1206.4.2.1.1.2.1.3",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseMinimumGreen","1.3.6.1.4.1.1206.4.2.1.1.2.1.4",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phasePassage","1.3.6.1.4.1.1206.4.2.1.1.2.1.5",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseMaximum1","1.3.6.1.4.1.1206.4.2.1.1.2.1.6",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseMaximum2","1.3.6.1.4.1.1206.4.2.1.1.2.1.7",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseYellowChange","1.3.6.1.4.1.1206.4.2.1.1.2.1.8",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseRedClear","1.3.6.1.4.1.1206.4.2.1.1.2.1.9",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseRedRevert","1.3.6.1.4.1.1206.4.2.1.1.2.1.10",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseAddedInitial","1.3.6.1.4.1.1206.4.2.1.1.2.1.11",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseMaximumInitial","1.3.6.1.4.1.1206.4.2.1.1.2.1.12",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseTimeBeforeReduction","1.3.6.1.4.1.1206.4.2.1.1.2.1.13",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseCarsBeforeReduction","1.3.6.1.4.1.1206.4.2.1.1.2.1.14",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseTimeToReduce","1.3.6.1.4.1.1206.4.2.1.1.2.1.15",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseReduceBy","1.3.6.1.4.1.1206.4.2.1.1.2.1.16",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseMinimumGap","1.3.6.1.4.1.1206.4.2.1.1.2.1.17",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseDynamicMaxLimit","1.3.6.1.4.1.1206.4.2.1.1.2.1.18",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseDynamicMaxStep","1.3.6.1.4.1.1206.4.2.1.1.2.1.19",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseStartup","1.3.6.1.4.1.1206.4.2.1.1.2.1.20",column,"INTEGER (enum)","1 .. 6  (other=1, phaseNotOn=2, greenWalk=3, greenNoWalk=4, yellowChange=5, redClear=6)","read-write","","INTEGER { other (1), phaseNotOn (2), greenWalk (3), greenNoWalk (4), yellowChange (5), redClear (6) }","phaseTable"
"phaseOptions","1.3.6.1.4.1.1206.4.2.1.1.2.1.21",column,"INTEGER","0 .. 65535","read-write","","INTEGER (0..65535)","phaseTable"
"phaseRing","1.3.6.1.4.1.1206.4.2.1.1.2.1.22",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseTable"
"phaseConcurrency","1.3.6.1.4.1.1206.4.2.1.1.2.1.23",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","","OCTET STRING","phaseTable"
"phaseEntry","1.3.6.1.4.1.1206.4.2.1.1.2.1",entry,"ROW ENTRY","INDEX { phaseNumber }","not-accessible","","PhaseEntry",""
"maxPhaseGroups","1.3.6.1.4.1.1206.4.2.1.1.3",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"phaseStatusGroupTable","1.3.6.1.4.1.1206.4.2.1.1.4",table,"TABLE","SEQUENCE OF PhaseStatusGroupEntry","not-accessible","","SEQUENCE OF PhaseStatusGroupEntry",""
"phaseStatusGroupNumber","1.3.6.1.4.1.1206.4.2.1.1.4.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","phaseStatusGroupTable"
"phaseStatusGroupReds","1.3.6.1.4.1.1206.4.2.1.1.4.1.2",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
"phaseStatusGroupYellows","1.3.6.1.4.1.1206.4.2.1.1.4.1.3",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
"phaseStatusGroupGreens","1.3.6.1.4.1.1206.4.2.1.1.4.1.4",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
"phaseStatusGroupDontWalks","1.3.6.1.4.1.1206.4.2.1.1.4.1.5",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
"phaseStatusGroupPedClears","1.3.6.1.4.1.1206.4.2.1.1.4.1.6",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
"phaseStatusGroupWalks","1.3.6.1.4.1.1206.4.2.1.1.4.1.7",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
