name,oid,kind,type,range,access,defval,syntax,parent_table
"phaseStatusGroupVehCalls","1.3.6.1.4.1.1206.4.2.1.1.4.1.8",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
"phaseStatusGroupPedCalls","1.3.6.1.4.1.1206.4.2.1.1.4.1.9",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
"phaseStatusGroupPhaseOns","1.3.6.1.4.1.1206.4.2.1.1.4.1.10",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
"phaseStatusGroupPhaseNexts","1.3.6.1.4.1.1206.4.2.1.1.4.1.11",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","phaseStatusGroupTable"
"phaseStatusGroupEntry","1.3.6.1.4.1.1206.4.2.1.1.4.1",entry,"ROW ENTRY","INDEX { phaseStatusGroupNumber }","not-accessible","","PhaseStatusGroupEntry",""
"phaseControlGroupTable","1.3.6.1.4.1.1206.4.2.1.1.5",table,"TABLE","SEQUENCE OF PhaseControlGroupEntry","not-accessible","","SEQUENCE OF PhaseControlGroupEntry",""
"phaseControlGroupNumber","1.3.6.1.4.1.1206.4.2.1.1.5.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","phaseControlGroupTable"
"phaseControlGroupPhaseOmit","1.3.6.1.4.1.1206.4.2.1.1.5.1.2",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseControlGroupTable"
"phaseControlGroupPedOmit","1.3.6.1.4.1.1206.4.2.1.1.5.1.3",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseControlGroupTable"
"phaseControlGroupHold","1.3.6.1.4.1.1206.4.2.1.1.5.1.4",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseControlGroupTable"
"phaseControlGroupForceOff","1.3.6.1.4.1.1206.4.2.1.1.5.1.5",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseControlGroupTable"
"phaseControlGroupVehCall","1.3.6.1.4.1.1206.4.2.1.1.5.1.6",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseControlGroupTable"
"phaseControlGroupPedCall","1.3.6.1.4.1.1206.4.2.1.1.5.1.7",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","phaseControlGroupTable"
"phaseControlGroupEntry","1.3.6.1.4.1.1206.4.2.1.1.5.1",entry,"ROW ENTRY","INDEX { phaseControlGroupNumber }","not-accessible","","PhaseControlGroupEntry",""
"detector","1.3.6.1.4.1.1206.4.2.1.2",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"maxVehicleDetectors","1.3.6.1.4.1.1206.4.2.1.2.1",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"vehicleDetectorTable","1.3.6.1.4.1.1206.4.2.1.2.2",table,"TABLE","SEQUENCE OF VehicleDetectorEntry","not-accessible","","SEQUENCE OF VehicleDetectorEntry",""
"vehicleDetectorNumber","1.3.6.1.4.1.1206.4.2.1.2.2.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","vehicleDetectorTable"
"vehicleDetectorOptions","1.3.6.1.4.1.1206.4.2.1.2.2.1.2",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorCallPhase","1.3.6.1.4.1.1206.4.2.1.2.2.1.4",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorSwitchPhase","1.3.6.1.4.1.1206.4.2.1.2.2.1.5",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorDelay","1.3.6.1.4.1.1206.4.2.1.2.2.1.6",column,"INTEGER","0 .. 65535","read-write","","INTEGER (0..65535)","vehicleDetectorTable"
"vehicleDetectorExtend","1.3.6.1.4.1.1206.4.2.1.2.2.1.7",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorQueueLimit","1.3.6.1.4.1.1206.4.2.1.2.2.1.8",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorNoActivity","1.3.6.1.4.1.1206.4.2.1.2.2.1.9",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorMaxPresence","1.3.6.1.4.1.1206.4.2.1.2.2.1.10",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorErraticCounts","1.3.6.1.4.1.1206.4.2.1.2.2.1.11",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorFailTime","1.3.6.1.4.1.1206.4.2.1.2.2.1.12",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorAlarms","1.3.6.1.4.1.1206.4.2.1.2.2.1.13",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorReportedAlarms","1.3.6.1.4.1.1206.4.2.1.2.2.1.14",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","vehicleDetectorTable"
"vehicleDetectorReset","1.3.6.1.4.1.1206.4.2.1.2.2.1.15",column,"INTEGER","0 .. 1","read-write","","INTEGER (0..1)","vehicleDetectorTable"
"vehicleDetectorEntry","1.3.6.1.4.1.1206.4.2.1.2.2.1",entry,"ROW ENTRY","INDEX { vehicleDetectorNumber }","not-accessible","","VehicleDetectorEntry",""
"maxVehicleDetectorStatusGroups","1.3.6.1.4.1.1206.4.2.1.2.3",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"vehicleDetectorStatusGroupTable","1.3.6.1.4.1.1206.4.2.1.2.4",table,"TABLE","SEQUENCE OF VehicleDetectorStatusGroupEntry","not-accessible","","SEQUENCE OF VehicleDetectorStatusGroupEntry",""
"vehicleDetectorStatusGroupNumber","1.3.6.1.4.1.1206.4.2.1.2.4.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","vehicleDetectorStatusGroupTable"
"vehicleDetectorStatusGroupActive","1.3.6.1.4.1.1206.4.2.1.2.4.1.2",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","vehicleDetectorStatusGroupTable"
"vehicleDetectorStatusGroupAlarms","1.3.6.1.4.1.1206.4.2.1.2.4.1.3",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","vehicleDetectorStatusGroupTable"
"vehicleDetectorStatusGroupEntry","1.3.6.1.4.1.1206.4.2.1.2.4.1",entry,"ROW ENTRY","INDEX { vehicleDetectorStatusGroupNumber }","not-accessible","","VehicleDetectorStatusGroupEntry",""
"volumeOccupancyReport","1.3.6.1.4.1.1206.4.2.1.2.5",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"volumeOccupancySequence","1.3.6.1.4.1.1206.4.2.1.2.5.1",scalar,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)",""
"volumeOccupancyPeriod","1.3.6.1.4.1.1206.4.2.1.2.5.2",scalar,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)",""
"activeVolumeOccupancyDetectors","1.3.6.1.4.1.1206.4.2.1.2.5.3",scalar,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)",""
"volumeOccupancyTable","1.3.6.1.4.1.1206.4.2.1.2.5.4",table,"TABLE","SEQUENCE OF VolumeOccupancyEntry","not-accessible","","SEQUENCE OF VolumeOccupancyEntry",""
"detectorVolume","1.3.6.1.4.1.1206.4.2.1.2.5.4.1.1",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","volumeOccupancyTable"
"detectorOccupancy","1.3.6.1.4.1.1206.4.2.1.2.5.4.1.2",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","volumeOccupancyTable"
"volumeOccupancyEntry","1.3.6.1.4.1.1206.4.2.1.2.5.4.1",entry,"ROW ENTRY","INDEX { vehicleDetectorNumber }","not-accessible","","VolumeOccupancyEntry",""
"maxPedestrianDetectors","1.3.6.1.4.1.1206.4.2.1.2.6",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"pedestrianDetectorTable","1.3.6.1.4.1.1206.4.2.1.2.7",table,"TABLE","SEQUENCE OF PedestrianDetectorEntry","not-accessible","","SEQUENCE OF PedestrianDetectorEntry",""
"pedestrianDetectorNumber","1.3.6.1.4.1.1206.4.2.1.2.7.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","pedestrianDetectorTable"
"pedestrianDetectorCallPhase","1.3.6.1.4.1.1206.4.2.1.2.7.1.2",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","pedestrianDetectorTable"
"pedestrianDetectorNoActivity","1.3.6.1.4.1.1206.4.2.1.2.7.1.3",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","pedestrianDetectorTable"
"pedestrianDetectorMaxPresence","1.3.6.1.4.1.1206.4.2.1.2.7.1.4",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","pedestrianDetectorTable"
"pedestrianDetectorErraticCounts","1.3.6.1.4.1.1206.4.2.1.2.7.1.5",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","pedestrianDetectorTable"
"pedestrianDetectorAlarms","1.3.6.1.4.1.1206.4.2.1.2.7.1.6",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","pedestrianDetectorTable"
"pedestrianDetectorEntry","1.3.6.1.4.1.1206.4.2.1.2.7.1",entry,"ROW ENTRY","INDEX { pedestrianDetectorNumber }","not-accessible","","PedestrianDetectorEntry",""
"unit","1.3.6.1.4.1.1206.4.2.1.3",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"unitStartUpFlash","1.3.6.1.4.1.1206.4.2.1.3.1",scalar,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)",""
"unitAutoPedestrianClear","1.3.6.1.4.1.1206.4.2.1.3.2",scalar,"INTEGER (enum)","1 .. 2  (disable=1, enable=2)","read-write","","INTEGER { disable(1), enable (2) }",""
"unitBackupTime","1.3.6.1.4.1.1206.4.2.1.3.3",scalar,"INTEGER","0 .. 65535","read-write","","INTEGER (0..65535)",""
"unitRedRevert","1.3.6.1.4.1.1206.4.2.1.3.4",scalar,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)",""
"unitControlStatus","1.3.6.1.4.1.1206.4.2.1.3.5",scalar,"INTEGER (enum)","1 .. 8  (other=1, systemControl=2, systemStandby=3, backupMode=4, manual=5, timebase=6, interconnect=7, interconnectBackup=8)","read-only","","INTEGER { other (1), systemControl (2), systemStandby (3), backupMode(4), manual (5), timebase (6), interconnect (7), interconnectBackup (8)}",""
"unitFlashStatus","1.3.6.1.4.1.1206.4.2.1.3.6",scalar,"INTEGER (enum)","1 .. 8  (other=1, notFlash=2, automatic=3, localManual=4, faultMonitor=5, mmu=6, startup=7, preempt=8)","read-only","","INTEGER { other(1), notFlash(2), automatic(3), localManual(4), faultMonitor(5), mmu(6), startup(7), preempt (8)}",""
"unitAlarmStatus2","1.3.6.1.4.1.1206.4.2.1.3.7",scalar,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)",""
"unitAlarmStatus1","1.3.6.1.4.1.1206.4.2.1.3.8",scalar,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)",""
"shortAlarmStatus","1.3.6.1.4.1.1206.4.2.1.3.9",scalar,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)",""
"unitControl","1.3.6.1.4.1.1206.4.2.1.3.10",scalar,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)",""
"maxAlarmGroups","1.3.6.1.4.1.1206.4.2.1.3.11",scalar,"INTEGER","1 .. 255","read-only","","INTEGER(1..255)",""
"alarmGroupTable","1.3.6.1.4.1.1206.4.2.1.3.12",table,"TABLE","SEQUENCE OF AlarmGroupEntry","not-accessible","","SEQUENCE OF AlarmGroupEntry",""
"alarmGroupNumber","1.3.6.1.4.1.1206.4.2.1.3.12.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","alarmGroupTable"
"alarmGroupState","1.3.6.1.4.1.1206.4.2.1.3.12.1.2",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","alarmGroupTable"
"alarmGroupEntry","1.3.6.1.4.1.1206.4.2.1.3.12.1",entry,"ROW ENTRY","INDEX { alarmGroupNumber }","not-accessible","","AlarmGroupEntry",""
"maxSpecialFunctionOutputs","1.3.6.1.4.1.1206.4.2.1.3.13",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"specialFunctionOutputTable","1.3.6.1.4.1.1206.4.2.1.3.14",table,"TABLE","SEQUENCE OF SpecialFunctionOutputEntry","not-accessible","","SEQUENCE OF SpecialFunctionOutputEntry",""
"specialFunctionOutputNumber","1.3.6.1.4.1.1206.4.2.1.3.14.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","specialFunctionOutputTable"
"specialFunctionOutputControl","1.3.6.1.4.1.1206.4.2.1.3.14.1.3",column,"INTEGER","0 .. 1","read-write","","INTEGER (0..1)","specialFunctionOutputTable"
"specialFunctionOutputStatus","1.3.6.1.4.1.1206.4.2.1.3.14.1.4",column,"INTEGER","0 .. 1","read-only","","INTEGER (0..1)","specialFunctionOutputTable"
"specialFunctionOutputEntry","1.3.6.1.4.1.1206.4.2.1.3.14.1",entry,"ROW ENTRY","INDEX { specialFunctionOutputNumber }","not-accessible","","SpecialFunctionOutputEntry",""
"coord","1.3.6.1.4.1.1206.4.2.1.4",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"coordOperationalMode","1.3.6.1.4.1.1206.4.2.1.4.1",scalar,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)",""
"coordCorrectionMode","1.3.6.1.4.1.1206.4.2.1.4.2",scalar,"INTEGER (enum)","1 .. 4  (other=1, dwell=2, shortway=3, addOnly=4)","read-write","","INTEGER { other (1), dwell (2), shortway (3), addOnly (4) }",""
"coordMaximumMode","1.3.6.1.4.1.1206.4.2.1.4.3",scalar,"INTEGER (enum)","1 .. 4  (other=1, maximum1=2, maximum2=3, maxInhibit=4)","read-write","","INTEGER { other (1), maximum1 (2), maximum2 (3), maxInhibit (4) }",""
"coordForceMode","1.3.6.1.4.1.1206.4.2.1.4.4",scalar,"INTEGER (enum)","1 .. 3  (other=1, floating=2, fixed=3)","read-write","","INTEGER { other(1), floating (2), fixed (3) }",""
"maxPatterns","1.3.6.1.4.1.1206.4.2.1.4.5",scalar,"INTEGER","1 .. 253","read-only","","INTEGER (1..253)",""
"patternTableType","1.3.6.1.4.1.1206.4.2.1.4.6",scalar,"INTEGER (enum)","1 .. 4  (other=1, patterns=2, offset3=3, offset5=4)","read-only","","INTEGER { other (1), patterns (2), offset3 (3), offset5 (4) }",""
"patternTable","1.3.6.1.4.1.1206.4.2.1.4.7",table,"TABLE","SEQUENCE OF PatternEntry","not-accessible","","SEQUENCE OF PatternEntry",""
"patternNumber","1.3.6.1.4.1.1206.4.2.1.4.7.1.1",column,"INTEGER","1 .. 253 [INDEX]","read-only","","INTEGER (1..253)","patternTable"
"patternCycleTime","1.3.6.1.4.1.1206.4.2.1.4.7.1.2",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","patternTable"
"patternOffsetTime","1.3.6.1.4.1.1206.4.2.1.4.7.1.3",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","patternTable"
"patternSplitNumber","1.3.6.1.4.1.1206.4.2.1.4.7.1.4",column,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)","patternTable"
"patternSequenceNumber","1.3.6.1.4.1.1206.4.2.1.4.7.1.5",column,"INTEGER","1 .. 255","read-write","","INTEGER (1..255)","patternTable"
"patternEntry","1.3.6.1.4.1.1206.4.2.1.4.7.1",entry,"ROW ENTRY","INDEX { patternNumber }","not-accessible","","PatternEntry",""
"maxSplits","1.3.6.1.4.1.1206.4.2.1.4.8",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"splitTable","1.3.6.1.4.1.1206.4.2.1.4.9",table,"TABLE","SEQUENCE OF SplitEntry","not-accessible","","SEQUENCE OF SplitEntry",""
"splitNumber","1.3.6.1.4.1.1206.4.2.1.4.9.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","splitTable"
"splitPhase","1.3.6.1.4.1.1206.4.2.1.4.9.1.2",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","splitTable"
"splitTime","1.3.6.1.4.1.1206.4.2.1.4.9.1.3",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","splitTable"
"splitMode","1.3.6.1.4.1.1206.4.2.1.4.9.1.4",column,"INTEGER (enum)","1 .. 7  (other=1, none=2, minimumVehicleRecall=3, maximumVehicleRecall=4, pedestrianRecall=5, maximumVehicleAndPedestrianRecall=6, phaseOmitted=7)","read-write","","INTEGER { other(1), none (2), minimumVehicleRecall (3), maximumVehicleRecall (4), pedestrianRecall (5), maximumVehicleAndPedestrianRecall (6), phaseOmitted (7) }","splitTable"
"splitCoordPhase","1.3.6.1.4.1.1206.4.2.1.4.9.1.5",column,"INTEGER","0 .. 1","read-write","","INTEGER (0..1)","splitTable"
"splitEntry","1.3.6.1.4.1.1206.4.2.1.4.9.1",entry,"ROW ENTRY","INDEX { splitNumber, splitPhase }","not-accessible","","SplitEntry",""
"coordPatternStatus","1.3.6.1.4.1.1206.4.2.1.4.10",scalar,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)",""
"localFreeStatus","1.3.6.1.4.1.1206.4.2.1.4.11",scalar,"INTEGER (enum)","1 .. 11  (other=1, notFree=2, commandFree=3, transitionFree=4, inputFree=5, coordFree=6, badPlan=7, badCycleTime=8, splitOverrun=9, invalidOffset=10, failed=11)","read-only","","INTEGER { other(1), notFree(2), commandFree(3), transitionFree(4), inputFree(5), coordFree(6), badPlan(7), badCycleTime(8), splitOverrun (9), invalidOffset (10), failed(11) }",""
"coordCycleStatus","1.3.6.1.4.1.1206.4.2.1.4.12",scalar,"INTEGER","0 .. 510","read-only","","INTEGER (0..510)",""
"coordSyncStatus","1.3.6.1.4.1.1206.4.2.1.4.13",scalar,"INTEGER","0 .. 510","read-only","","INTEGER (0..510)",""
"systemPatternControl","1.3.6.1.4.1.1206.4.2.1.4.14",scalar,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)",""
"systemSyncControl","1.3.6.1.4.1.1206.4.2.1.4.15",scalar,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)",""
"timebaseAsc","1.3.6.1.4.1.1206.4.2.1.5",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"timebaseAscPatternSync","1.3.6.1.4.1.1206.4.2.1.5.1",scalar,"INTEGER","0 .. 65535","read-write","","INTEGER (0..65535)",""
"maxTimebaseAscActions","1.3.6.1.4.1.1206.4.2.1.5.2",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"timebaseAscActionTable","1.3.6.1.4.1.1206.4.2.1.5.3",table,"TABLE","SEQUENCE OF TimebaseAscActionEntry","not-accessible","","SEQUENCE OF TimebaseAscActionEntry",""
"timebaseAscActionNumber","1.3.6.1.4.1.1206.4.2.1.5.3.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","timebaseAscActionTable"
"timebaseAscPattern","1.3.6.1.4.1.1206.4.2.1.5.3.1.2",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","timebaseAscActionTable"
"timebaseAscAuxillaryFunction","1.3.6.1.4.1.1206.4.2.1.5.3.1.3",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","timebaseAscActionTable"
"timebaseAscSpecialFunction","1.3.6.1.4.1.1206.4.2.1.5.3.1.4",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","timebaseAscActionTable"
"timebaseAscActionEntry","1.3.6.1.4.1.1206.4.2.1.5.3.1",entry,"ROW ENTRY","INDEX { timebaseAscActionNumber }","not-accessible","","TimebaseAscActionEntry",""
"timebaseAscActionStatus","1.3.6.1.4.1.1206.4.2.1.5.4",scalar,"INTEGER","0 .. 255","read-only","","INTEGER(0..255)",""
"preempt","1.3.6.1.4.1.1206.4.2.1.6",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"maxPreempts","1.3.6.1.4.1.1206.4.2.1.6.1",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"preemptTable","1.3.6.1.4.1.1206.4.2.1.6.2",table,"TABLE","SEQUENCE OF PreemptEntry","not-accessible","","SEQUENCE OF PreemptEntry",""
"preemptNumber","1.3.6.1.4.1.1206.4.2.1.6.2.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","preemptTable"
"preemptControl","1.3.6.1.4.1.1206.4.2.1.6.2.1.2",column,"INTEGER","0 .. 255","read-write","0","INTEGER (0..255)","preemptTable"
"preemptLink","1.3.6.1.4.1.1206.4.2.1.6.2.1.3",column,"INTEGER","0 .. 255","read-write","0","INTEGER (0..255)","preemptTable"
"preemptDelay","1.3.6.1.4.1.1206.4.2.1.6.2.1.4",column,"INTEGER","0 .. 65535","read-write","0","INTEGER (0..65535)","preemptTable"
"preemptMinimumDuration","1.3.6.1.4.1.1206.4.2.1.6.2.1.5",column,"INTEGER","0 .. 65535","read-write","0","INTEGER (0..65535)","preemptTable"
