name,kind,def_oid,inst_oid,access,syntax,default
phaseStatusGroupDontWalks,column,1.3.6.1.4.1.1206.4.2.1.1.4.1.5,1.3.6.1.4.1.1206.4.2.1.1.4.1.5.1,read-only,INTEGER (0..255),255
phaseStatusGroupPedClears,column,1.3.6.1.4.1.1206.4.2.1.1.4.1.6,1.3.6.1.4.1.1206.4.2.1.1.4.1.6.1,read-only,INTEGER (0..255),255
phaseStatusGroupWalks,column,1.3.6.1.4.1.1206.4.2.1.1.4.1.7,1.3.6.1.4.1.1206.4.2.1.1.4.1.7.1,read-only,INTEGER (0..255),255
phaseStatusGroupVehCalls,column,1.3.6.1.4.1.1206.4.2.1.1.4.1.8,1.3.6.1.4.1.1206.4.2.1.1.4.1.8.1,read-only,INTEGER (0..255),255
phaseStatusGroupPedCalls,column,1.3.6.1.4.1.1206.4.2.1.1.4.1.9,1.3.6.1.4.1.1206.4.2.1.1.4.1.9.1,read-only,INTEGER (0..255),255
phaseControlGroupTable,table,1.3.6.1.4.1.1206.4.2.1.1.5,—,not-accessible,SEQUENCE OF PhaseControlGroupEntry,—
phaseControlGroupEntry,entry,1.3.6.1.4.1.1206.4.2.1.1.5.1,—,not-accessible,PhaseControlGroupEntry,—
phaseControlGroupNumber,column,1.3.6.1.4.1.1206.4.2.1.1.5.1.1,1.3.6.1.4.1.1206.4.2.1.1.5.1.1.1,read-only,INTEGER (1..255),1
phaseControlGroupPhaseOmit,column,1.3.6.1.4.1.1206.4.2.1.1.5.1.2,1.3.6.1.4.1.1206.4.2.1.1.5.1.2.1,read-write,INTEGER (0..255),255
phaseControlGroupPedOmit,column,1.3.6.1.4.1.1206.4.2.1.1.5.1.3,1.3.6.1.4.1.1206.4.2.1.1.5.1.3.1,read-write,INTEGER (0..255),255
phaseControlGroupHold,column,1.3.6.1.4.1.1206.4.2.1.1.5.1.4,1.3.6.1.4.1.1206.4.2.1.1.5.1.4.1,read-write,INTEGER (0..255),255
phaseControlGroupForceOff,column,1.3.6.1.4.1.1206.4.2.1.1.5.1.5,1.3.6.1.4.1.1206.4.2.1.1.5.1.5.1,read-write,INTEGER (0..255),255
phaseControlGroupVehCall,column,1.3.6.1.4.1.1206.4.2.1.1.5.1.6,1.3.6.1.4.1.1206.4.2.1.1.5.1.6.1,read-write,INTEGER (0..255),255
phaseControlGroupPedCall,column,1.3.6.1.4.1.1206.4.2.1.1.5.1.7,1.3.6.1.4.1.1206.4.2.1.1.5.1.7.1,read-write,INTEGER (0..255),255
ts2port1,branch,1.3.6.1.4.1.1206.4.2.1.10,—,read-only,,—
maxPort1Addresses,scalar,1.3.6.1.4.1.1206.4.2.1.10.1,1.3.6.1.4.1.1206.4.2.1.10.1.0,read-only,INTEGER (1..255),255
port1Table,table,1.3.6.1.4.1.1206.4.2.1.10.2,—,not-accessible,SEQUENCE OF Port1Entry,—
port1Entry,entry,1.3.6.1.4.1.1206.4.2.1.10.2.1,—,not-accessible,Port1Entry,—
port1Number,column,1.3.6.1.4.1.1206.4.2.1.10.2.1.1,1.3.6.1.4.1.1206.4.2.1.10.2.1.1.1,read-only,INTEGER (1..255),1
port1DevicePresent,column,1.3.6.1.4.1.1206.4.2.1.10.2.1.2,1.3.6.1.4.1.1206.4.2.1.10.2.1.2.1,read-write,INTEGER (0..1),1
port1Frame40Enable,column,1.3.6.1.4.1.1206.4.2.1.10.2.1.3,1.3.6.1.4.1.1206.4.2.1.10.2.1.3.1,read-write,INTEGER (0..1),1
port1Status,column,1.3.6.1.4.1.1206.4.2.1.10.2.1.4,1.3.6.1.4.1.1206.4.2.1.10.2.1.4.1,read-only,"INTEGER { other (1), online (2), responseFault (3) }",3
port1FaultFrame,column,1.3.6.1.4.1.1206.4.2.1.10.2.1.5,1.3.6.1.4.1.1206.4.2.1.10.2.1.5.1,read-only,INTEGER (0..255),255
ascBlock,branch,1.3.6.1.4.1.1206.4.2.1.11,—,read-only,,—
